traffic_bytes,ciphers_up,ciphers_down,cipher_size,op_local,levels,op_offload,benchmarking_clients,client_agg,keygen,keygen_size,sample,benchmarking,proxy_agg,server_agg,accuracy,offloaded_pct,op_offload_count
0,0,0,{},0.018358469009399414,7,-1,1.5559134483337402,0.016646146774291992,1.4692339897155762,1711509,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/00add/analyst/algorithms.yaml,1.5561871528625488,0.017185449600219727,0.0066680908203125,0.0,0.0,0
0,0,0,{},0.04195380210876465,7,-1,1.6153433322906494,0.016168832778930664,1.4704744815826416,1711938,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/06dic/analyst/algorithms.yaml,1.6155943870544434,0.01623368263244629,0.008858680725097656,0.0,0.0,0
0,0,0,{},0.041649580001831055,7,-1,1.5994360446929932,0.016562938690185547,1.4684314727783203,1711068,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/05poc/analyst/algorithms.yaml,1.5997231006622314,0.016596317291259766,0.006860971450805664,0.0,0.0,0
3684578,1,1,{1842289: 2},-1,7,0.023501157760620117,1.5621347427368164,0.017173290252685547,1.4727234840393066,1711168,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/04sqrt/analyst/algorithms.yaml,1.5624170303344727,0.017636775970458984,0.006619453430175781,0.0,1.0,1
0,0,0,{},0.06246328353881836,7,-1,1.598991870880127,0.016227006912231445,1.4689509868621826,1712300,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/03mul/analyst/algorithms.yaml,1.5992767810821533,0.01697063446044922,0.006882190704345703,0.0001,0.0,0
5526867,2,1,{1842289: 3},-1,7,1.8835067749023438e-05,1.5655937194824219,0.016679048538208008,1.4704256057739258,1711931,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/02div/analyst/algorithms.yaml,1.5658745765686035,0.01633763313293457,0.0064907073974609375,0.0,1.0,1
0,0,0,{},0.0011684894561767578,7,-1,1.540137767791748,0.016696453094482422,1.4718787670135498,1711743,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/01sub/analyst/algorithms.yaml,1.5404138565063477,0.016812801361083984,0.006687164306640625,0.0,0.0,0
0,0,0,{},0.01954960823059082,7,-1,1.5576975345611572,0.016188621520996094,1.4694154262542725,1711167,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/00add/analyst/algorithms.yaml,1.5579712390899658,0.0168759822845459,0.006590843200683594,0.0,0.0,0
0,0,0,{},0.04186367988586426,7,-1,1.5987014770507812,0.01657843589782715,1.4736106395721436,1712043,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/06dic/analyst/algorithms.yaml,1.598982334136963,0.016588926315307617,0.00686335563659668,0.0,0.0,0
0,0,0,{},0.041794538497924805,7,-1,1.599637746810913,0.016467809677124023,1.5007271766662598,1711894,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/05poc/analyst/algorithms.yaml,1.5998892784118652,0.016679048538208008,0.0068454742431640625,0.0,0.0,0
